id,accommodation_name,accommodation_type,accommodation_addr,accommodation_score,accommodation_pic,accommodation_price,accommodation_lat,accommodation_lng
125266,보리카라반,캠핑,호수공원 차량 21분,10.0,https://image.goodchoice.kr/resize_1000X500x0/affiliate/2023/10/23/15/1684490173883hdUEEG6tVnj9YnsW0M2.jpg,"남은 객실 1개
 150,000원",37.531683787529,128.22601205131
125266,너머 애견펜션,펜션,강원특별자치도 횡성군 둔내면 궁종리 산,10.0,https://image.goodchoice.kr/resize_1000X500x0/affiliate/2023/07/26/18/1690357214232tA4NsAtdA7jqzvWHBks.jpg,"320,000원",37.509221214473,128.14872858858
125266,횡성 로즈오브샤론펜션,펜션,강원 횡성군 둔내면 두원리,-1,https://image.goodchoice.kr/resize_1000X500x0/affiliate/2023/10/10/6525093b42993.jpg,"90,000원",37.497918379776,128.24686264975
125266,횡성 별무리펜션,펜션,웰리힐리파크 차량 19분,10.0,https://image.goodchoice.kr/resize_1000X500x0/affiliate/2023/07/26/64c0dab000eab.jpg,숙박 다른날짜 확인,37.538453650043,128.25684616118
125266,횡성 달보드레펜션,펜션,휘닉스평창 차량 25분,-1,https://image.goodchoice.kr/resize_1000X500x0/affiliate/2023/08/01/64c852f4c94b3.jpg,숙박 다른날짜 확인,37.494851557594,128.24669055129
125266,횡성 헬로우412 펜션,펜션,휘닉스평창 차량 35분,9.4,https://image.goodchoice.kr/resize_1000X500x0/affiliate/2023/09/20/14/1690417285471ZaBNNN0xOYsiBUkxdFd.jpg,"80,000원",37.498198785122,128.24713293742
125266,횡성 숲속의연인별 펜션&글램핑,펜션,웰리힐리파크 차량 8분,9.5,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"70,000원",37.497308896253,128.2558675858
125266,웰리힐리파크,호텔,둔내IC 차량 10분,8.5,https://image.goodchoice.kr/images/web_v3/bg_trans.png,숙박 다른날짜 확인,37.490858139124,128.25031722013
125266,횡성 까사 408,펜션,강원 횡성군 둔내면 두원리,9.3,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"90,000원",37.497660041886,128.24778741157
125266,횡성 모모의다락방펜션,펜션,봉복사 차량 16분,9.6,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"120,000원",37.550621344283,128.21965962978
125266,횡성 페이지102 풀빌라&스파 펜션,펜션,휘닉스평창 차량 13분,9.7,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"190,000
130,000원",37.574806810911,128.25715893392
125266,횡성 꿈나무펜션,펜션,웰리힐리파크 차량 6분,9.7,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"80,000
60,000원",37.498854340327,128.24227457722
125266,횡성 화이트프로포즈펜션,펜션,금당계곡 차량 33분,10.0,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"70,000원",37.496884742313,128.24257710829
125266,횡성 숲속의사랑별펜션,펜션,웰리힐리파크 차량 7분,9.7,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"79,000원",37.500459532208,128.2426973052
125266,횡성 언덕위작은성펜션,펜션,웰리힐리파크 차량 3분,10.0,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"120,000원",37.495425806859,128.23910604314
125266,횡성 티하우스 키즈펜션,펜션,블루캐니언 차량 14분,9.6,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"110,000
93,000원",37.574826461534,128.25868808433
125266,횡성 나무그림키즈펜션,펜션,휘닉스파크 차량 26분,9.5,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"89,000원",37.541414219998,128.25528988319
125266,횡성 알프스클럽펜션,펜션,청태산 차량 18분,9.9,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"130,000원",37.494754910302,128.25592431723
125266,횡성 소나무이야기펜션,펜션,스노우파크 차량 13분,9.7,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"69,000원",37.497211176978,128.24163277181
125266,마인,펜션,휘닉스평창 차량 20분,10.0,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"600,000
540,000원",37.534702458697,128.25682267929
125266,횡성 뮤트,펜션,흥정계곡 차량 27분,9.1,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"160,000원",37.499434158181,128.24233778495
125266,횡성 숲속의쥬얼리펜션,펜션,둔내휴양림 차량 15분,9.8,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"90,000원",37.494430595308,128.25203490196
